,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2012-12-31 00:00:00-05:00,26.386013833876188,27.86260313112802,26.050748677112743,27.620071411132812,627696600,0.0,0.0
1,2013-03-31 00:00:00-04:00,27.455999307691734,30.97983908322491,27.427465531096964,28.525991439819336,894424000,0.28,0.0
2,2013-06-30 00:00:00-04:00,28.70374914762835,29.98266372756046,27.15899061728319,27.432018280029297,863530400,0.28,0.0
3,2013-09-30 00:00:00-04:00,27.68673896944448,29.574964857725984,26.644960406153082,29.075777053833008,947889200,0.56,0.0
4,2013-12-31 00:00:00-05:00,29.42634973994309,30.372983643923217,27.070774694583694,28.032085418701172,975777300,0.0,0.0
5,2014-03-31 00:00:00-04:00,27.7972652234545,30.292266159882846,27.775248590953694,30.020751953125,945424800,0.305,0.0
6,2014-06-30 00:00:00-04:00,30.140269166567304,31.486411023869692,28.89028110521423,30.85771942138672,812725600,0.305,0.0
7,2014-09-30 00:00:00-04:00,30.940750965960287,33.534050532696114,29.88256389316031,33.40736770629883,1098798800,0.61,0.0
8,2014-12-31 00:00:00-05:00,33.39207291253517,33.838006094462145,30.08158594980983,32.726951599121094,911600700,0.0,0.0
9,2015-03-31 00:00:00-04:00,32.72693778507416,32.72693778507416,29.937968787126625,30.958322525024414,885351400,0.33,0.0
10,2015-06-30 00:00:00-04:00,31.52004808482806,32.1983078320043,27.86201606049051,29.965383529663086,899276300,0.33,0.0
11,2015-09-30 00:00:00-04:00,29.71314688284054,33.69334127665488,29.075395288833498,32.74823760986328,965720300,0.66,0.0
12,2015-12-31 00:00:00-05:00,33.37119746979081,34.50361643327736,31.824861021817007,33.683589935302734,908726200,0.0,0.0
13,2016-03-31 00:00:00-04:00,33.878831793642874,36.807499753486255,33.48053128275491,34.83162307739258,894871700,0.35,0.0
14,2016-06-30 00:00:00-04:00,35.10325709329422,36.213023659181715,33.90691550656829,34.18238830566406,736570300,0.35,0.0
15,2016-09-30 00:00:00-04:00,34.27004153336438,34.76176845598311,32.00176239013672,32.00176239013672,832403300,0.7,0.0
16,2016-12-31 00:00:00-05:00,32.50372107273973,34.06802700416616,32.15699297786332,33.83418655395508,858198300,0.0,0.0
17,2017-03-31 00:00:00-04:00,33.874503387810115,36.84991412802844,33.656793257706106,36.66445541381836,822104600,0.37,0.0
18,2017-06-30 00:00:00-04:00,36.97179389434266,37.768985104109504,35.914295477431814,37.053138732910156,645652300,0.37,0.0
19,2017-09-30 00:00:00-04:00,37.43189210514678,38.940978172329004,36.398497673616745,37.53851318359375,607493100,0.74,0.0
20,2017-12-31 00:00:00-05:00,38.17241703833171,40.52277088531809,35.16362989635586,36.0220947265625,757172200,0.0,0.0
21,2018-03-31 00:00:00-04:00,35.92208211716985,37.58066694867773,34.5468766560885,35.83873748779297,788570500,0.39,0.0
22,2018-06-30 00:00:00-04:00,36.239184302681196,39.409062405858464,36.121470523949185,37.47518539428711,698135200,0.39,0.0
